id,place_name,district,place_type,city,latitude,longitude,distance_from_vijayawada_km,distance_from_visakhapatnam_km,distance_from_tirupati_km,estimated_travel_time_hours,best_season,crowd_level,average_visit_duration_hours,entry_fee_inr,rating
20,Vizianagaram Fort,Vizianagaram,Fort,Vizianagaram,18.113,83.395,404.8,55.7,705.3,1.0,June-September,Medium,3.4,200,3.6
21,Araku Valley,Alluri Sitharama Raju,Hill Station,Araku,18.3273,82.877,332.8,94.4,717.2,2.0,October-March,Low,5.9,0,4.4
22,Lambasingi,Alluri Sitharama Raju,Hill Station,Lambasingi,17.8667,82.55,285.3,82.2,706.7,1.9,November-February,High,1.7,30,4.2
23,Horsley Hills,Annamayya,Hill Station,Madanapalle,13.655,78.4,455.2,837.0,117.3,2.2,October-March,Low,6.0,10,3.3
24,Rishikonda Beach,Visakhapatnam,Beach,Visakhapatnam,17.7833,83.3833,399.6,25.0,679.4,0.5,October-March,Medium,3.0,0,3.6
25,Yarada Beach,Visakhapatnam,Beach,Visakhapatnam,17.65,83.2667,344.5,8.2,670.6,0.2,Year Round,Very High,3.1,0,4.0
26,Uppada Beach,Kakinada,Beach,Uppada,16.8333,82.25,188.6,155.2,582.3,3.1,October-March,Low,4.7,0,4.2
27,Manginapudi Beach,Krishna,Beach,Machilipatnam,16.1667,81.15,76.5,319.2,412.5,1.9,November-February,Low,1.4,0,4.9
28,Mypadu Beach,SPSR Nellore,Beach,Nellore,14.5833,80.0833,259.8,569.8,140.5,3.5,July-October,Low,2.2,0,4.8
29,Kolleru Lake,Eluru,Lake,Eluru,16.65,81.2,71.6,276.1,450.9,1.5,November-February,High,4.6,50,3.6
30,Pulicat Lake,Tirupati,Lake/Wildlife,Sullurpeta,13.55,80.06,378.0,676.1,77.5,1.7,July-October,Low,4.1,10,3.2
31,Coringa Wildlife Sanctuary,Kakinada,Wildlife,Kakinada,16.85,82.25,186.2,151.5,518.0,2.7,November-February,Very High,2.8,10,4.8
32,Kambalakonda Wildlife Sanctuary,Visakhapatnam,Wildlife,Visakhapatnam,17.8,83.3,384.9,18.2,729.8,0.3,Year Round,Low,3.8,0,4.4
33,Talakona Waterfalls,Tirupati,Waterfall,Tirupati,13.7833,79.1167,426.4,664.7,39.6,1.0,Year Round,High,4.0,20,3.7
34,Ethipothala Waterfalls,Palnadu,Waterfall,Nagarjuna Sagar,16.1167,79.3333,160.2,528.0,305.2,3.4,December-February,Low,3.1,0,3.4
35,Papikondalu,Alluri Sitharama Raju,Nature,Rajamahendravaram,17.4333,81.7333,162.6,192.6,577.3,3.8,June-September,Low,3.8,0,4.5
36,Kailasagiri,Visakhapatnam,Viewpoint,Visakhapatnam,17.749,83.341,340.8,18.2,738.3,0.4,July-October,Medium,2.8,0,3.3
37,Prakasam Barrage,NTR,Landmark,Vijayawada,16.5167,80.6167,4.0,323.4,388.4,0.1,December-February,Medium,1.2,0,4.9
38,Bhavani Island,NTR,Tourist Place,Vijayawada,16.5167,80.6,6.2,363.5,386.9,0.1,November-February,Medium,4.7,150,5.0
39,Amaravati,Palnadu,Heritage,Amaravati,16.573,80.357,39.7,398.0,420.0,1.0,Year Round,Medium,3.1,100,4.6
40,Lepakshi,Sri Sathya Sai,Heritage,Lepakshi,13.8011,77.604,490.0,893.5,211.1,3.8,June-September,High,5.1,200,3.6
41,Eluru,Eluru,Famous City,Eluru,16.7107,81.0952,57.8,295.9,437.2,1.3,December-February,Very High,4.9,0,3.3
42,Papikondalu View,Alluri Sitharama Raju,Nature,Rajamahendravaram,17.400232,81.759693,167.7,196.2,539.0,4.2,December-February,Very High,4.6,0,4.0
43,Talakona Waterfalls,Tirupati,Waterfall,Tirupati,13.811265,79.095006,408.6,647.8,50.0,1.0,Year Round,High,1.3,30,3.9
44,Draksharamam Temple Point,Kakinada,Temple,Draksharamam,16.776323,82.22865,190.8,173.6,536.2,4.1,July-October,High,5.5,150,4.4
45,Vijayawada,NTR,Famous City,Vijayawada,16.5062,80.648,0.0,331.0,417.8,0.0,Year Round,Medium,3.2,0,3.8
46,Veerabhadra Temple Region,Sri Sathya Sai,Temple,Lepakshi,13.785965,77.61547,496.3,898.1,234.8,4.6,October-March,Medium,1.7,30,4.7
47,Lepakshi Region,Sri Sathya Sai,Famous City,Lepakshi,13.797979,77.63103,481.5,877.5,223.0,5.2,October-March,Very High,1.0,0,4.4
48,Chittoor,Chittoor,Famous City,Chittoor,13.2172,79.1003,459.2,771.9,70.7,1.7,July-October,High,3.3,0,3.4
49,Kolleru Lake Region,Eluru,Lake,Eluru,16.665349,81.200334,70.0,262.5,474.3,1.5,July-October,Very High,2.4,30,4.7
50,Kondapalli Fort View,NTR,Fort,Kondapalli,16.634748,80.523415,21.7,358.2,382.2,0.5,June-September,High,1.3,20,4.5
51,Manginapudi Beach Region,Krishna,Beach,Machilipatnam,16.190002,81.142263,78.5,291.4,416.5,1.6,December-February,Very High,5.7,0,4.1
52,Manginapudi Beach Area,Krishna,Beach,Machilipatnam,16.183124,81.170991,76.2,303.3,390.9,1.7,Year Round,Medium,5.0,0,4.4
53,Amaralingeswara Temple Region,Palnadu,Lake,Amaravati,16.539088,80.350081,37.8,352.5,384.7,0.7,November-February,Very High,2.9,20,3.3
54,Nandyal,Nandyal,Famous City,Nandyal,15.4786,78.4836,285.3,695.9,259.8,4.7,October-March,High,4.7,0,4.0
55,Tirupati,Tirupati,Famous City,Tirupati,13.6288,79.4192,417.5,717.0,0.0,0.0,November-February,Medium,1.1,0,3.6
56,Guntur,Guntur,Famous City,Guntur,16.3067,80.4365,36.8,364.4,377.4,0.7,Year Round,Low,4.0,0,3.5
57,Veerabhadra Temple Region,Sri Sathya Sai,Famous City,Lepakshi,13.806608,77.634022,523.1,915.1,218.9,4.2,Year Round,Medium,4.5,0,3.3
58,Ongole,Prakasam,Famous City,Ongole,15.5057,80.0499,156.5,486.4,235.7,2.7,June-September,High,2.7,0,4.6
59,Kadapa,YSR Kadapa,Famous City,Kadapa,14.4673,78.8242,315.0,669.5,129.9,2.8,June-September,Medium,5.5,0,3.9
60,Chittoor,Chittoor,Famous City,Chittoor,13.2172,79.1003,499.4,733.7,69.4,1.4,Year Round,High,3.2,0,4.1
61,Eluru,Eluru,Famous City,Eluru,16.7107,81.0952,64.2,267.1,474.6,1.5,June-September,High,4.1,0,4.0
62,Kadapa,YSR Kadapa,Famous City,Kadapa,14.4673,78.8242,325.2,644.9,136.9,3.1,December-February,Low,4.5,0,4.8
63,Srikurmam Temple Area,Srikakulam,Temple,Srikurmam,18.300205,83.9459,478.5,121.2,815.0,2.3,November-February,High,3.0,10,3.7
64,Rishikonda Beach Tourism Zone,Visakhapatnam,Beach,Visakhapatnam,17.785465,83.378085,374.8,22.6,715.2,0.5,December-February,Low,4.6,0,3.6
65,Arasavalli Sun Temple Region,Srikakulam,Temple,Arasavalli,18.313502,83.884055,495.4,114.4,781.7,2.9,December-February,Low,2.8,30,3.7
66,Amaralingeswara Temple Tourism Zone,Palnadu,Temple,Amaravati,16.605401,80.361235,40.3,384.5,415.5,1.0,June-September,High,3.3,0,4.2
67,Visakhapatnam,Visakhapatnam,Famous City,Visakhapatnam,17.6868,83.2185,333.6,0.0,651.7,0.0,Year Round,Low,3.9,0,4.1
68,Amaravati,Palnadu,Famous City,Amaravati,16.572,80.3575,39.4,350.3,376.5,0.8,July-October,Medium,4.0,0,3.9
69,Yarada Beach Point,Visakhapatnam,Beach,Visakhapatnam,17.64599,83.291912,342.5,10.6,714.2,0.2,November-February,High,2.0,0,4.9
70,Veerabhadra Temple Point,Sri Sathya Sai,Temple,Lepakshi,13.804739,77.579957,508.1,867.0,221.3,5.2,Year Round,Medium,3.3,50,4.5
71,Bhavani Island Region,NTR,Tourist Place,Vijayawada,16.547057,80.59476,8.0,330.7,384.1,0.2,Year Round,High,2.5,0,3.5
72,Vizianagaram,Vizianagaram,Famous City,Vizianagaram,18.1067,83.3956,405.8,59.9,810.9,1.2,October-March,Very High,1.4,0,4.1
73,Amaravati Region,Palnadu,Heritage,Amaravati,16.544393,80.389334,32.6,344.1,409.6,0.6,July-October,Very High,1.9,0,4.6
74,Arasavalli Sun Temple,Srikakulam,Fort,Arasavalli,18.306235,83.899121,456.2,112.7,787.6,2.8,December-February,Very High,4.5,20,3.8
75,Kailasagiri,Visakhapatnam,Viewpoint,Visakhapatnam,17.720164,83.323668,391.6,13.3,712.2,0.2,June-September,Low,3.7,0,4.4
76,Kurnool,Kurnool,Famous City,Kurnool,15.8281,78.0373,339.2,677.2,325.8,8.3,December-February,Very High,1.7,0,3.7
77,Kambalakonda Wildlife Sanctuary Area,Visakhapatnam,Wildlife,Visakhapatnam,17.83312,83.307621,379.9,20.9,658.8,0.5,June-September,Low,5.6,30,5.0
78,Panakala Narasimha Swamy Temple View,Guntur,Temple,Mangalagiri,16.445962,80.568621,12.2,359.6,385.3,0.3,July-October,Medium,5.6,20,3.9
79,Kondapalli Fort Region,NTR,Landmark,Kondapalli,16.613846,80.572397,15.9,320.8,423.4,0.3,November-February,Very High,4.3,0,4.2
80,Horsley Hills View,Annamayya,Hill Station,Madanapalle,13.673401,78.391405,486.3,850.7,122.0,2.7,Year Round,Very High,4.7,150,3.3
81,Nellore,SPSR Nellore,Famous City,Nellore,14.4426,79.9865,276.0,528.0,125.7,2.5,June-September,Low,5.4,0,4.8
82,Pulicat Lake Area,Tirupati,Lake/Wildlife,Sullurpeta,13.525091,80.085965,358.8,689.4,80.5,1.6,Year Round,Very High,5.3,150,4.4
83,Kambalakonda Wildlife Sanctuary Tourism Zone,Visakhapatnam,Temple,Visakhapatnam,17.808222,83.281434,388.8,18.8,745.9,0.4,October-March,Very High,4.5,10,4.6
84,Ongole,Prakasam,Famous City,Ongole,15.5057,80.0499,157.9,440.3,265.4,3.6,July-October,Very High,1.7,0,3.9
85,Arasavalli Sun Temple Region,Srikakulam,Temple,Arasavalli,18.267328,83.925659,473.6,113.6,823.3,2.7,June-September,High,4.3,50,4.0
86,Veerabhadra Temple View,Sri Sathya Sai,Temple,Lepakshi,13.832266,77.638136,517.0,834.1,213.1,3.9,October-March,Medium,5.3,30,5.0
87,Kurnool,Kurnool,Famous City,Kurnool,15.8281,78.0373,336.5,735.5,317.4,5.5,July-October,Low,2.4,0,4.4
88,Kambalakonda Wildlife Sanctuary View,Visakhapatnam,Waterfall,Visakhapatnam,17.819302,83.281108,345.2,17.6,685.2,0.3,Year Round,Low,5.5,20,4.3
89,Vizianagaram,Vizianagaram,Famous City,Vizianagaram,18.1067,83.3956,361.0,56.5,704.7,1.0,November-February,Medium,3.1,0,3.8
90,Rishikonda Beach View,Visakhapatnam,Beach,Visakhapatnam,17.812244,83.406433,403.2,30.1,784.9,0.7,June-September,Low,5.0,0,4.8
91,Eluru,Eluru,Famous City,Eluru,16.7107,81.0952,64.5,299.1,482.2,1.1,June-September,Low,2.8,0,4.6
92,Guntur,Guntur,Famous City,Guntur,16.3067,80.4365,36.1,394.8,375.7,0.7,October-March,Medium,5.7,0,4.7
93,Lepakshi Tourism Zone,Sri Sathya Sai,Lake,Lepakshi,13.78906,77.611706,472.2,899.0,241.5,5.5,October-March,High,1.2,150,3.4
94,Draksharamam Temple Point,Kakinada,Temple,Draksharamam,16.817408,82.216496,191.8,178.2,552.4,3.7,June-September,Very High,4.3,20,4.8
95,Kondapalli Fort Area,NTR,Fort,Kondapalli,16.610737,80.538037,20.2,330.5,418.6,0.4,October-March,Very High,2.4,100,3.3
96,Rajamahendravaram,East Godavari,Famous City,Rajamahendravaram,17.0005,81.804,158.8,196.9,478.4,3.0,July-October,Medium,1.6,0,3.6
97,Madanapalle,Annamayya,Famous City,Madanapalle,13.55,78.5,438.3,746.9,122.1,2.7,October-March,High,5.5,0,3.5
98,Panakala Narasimha Swamy Temple Tourism Zone,Guntur,Lake,Mangalagiri,16.413346,80.545215,18.4,341.8,372.8,0.3,November-February,Very High,2.3,100,3.2
99,Srisailam Mallikarjuna Temple,Nandyal,Temple,Srisailam,16.091461,78.869127,222.8,542.3,328.6,4.2,October-March,Very High,5.8,50,4.0
100,Mypadu Beach,SPSR Nellore,Beach,Nellore,14.582619,80.111979,272.4,533.5,140.1,3.5,Year Round,High,3.9,0,4.3
101,Srisailam,Nandyal,Famous City,Srisailam,16.072,78.8682,226.6,566.3,325.6,5.7,Year Round,Medium,5.3,0,4.5
102,Eluru,Eluru,Famous City,Eluru,16.7107,81.0952,59.8,304.2,437.2,1.1,December-February,High,2.6,0,3.8
103,Coringa Wildlife Sanctuary,Kakinada,Wildlife,Kakinada,16.873224,82.221526,206.8,156.6,505.3,4.0,Year Round,Very High,3.1,100,4.4
104,Simhachalam Temple Region,Visakhapatnam,Heritage,Visakhapatnam,17.753571,83.222252,335.1,8.8,671.4,0.2,November-February,Very High,2.4,100,3.4
105,Lepakshi Tourism Zone,Sri Sathya Sai,Heritage,Lepakshi,13.811089,77.570838,542.2,819.0,218.0,4.2,November-February,Medium,2.8,50,4.9
106,Uppada Beach,Kakinada,Beach,Uppada,16.850168,82.283027,213.8,148.8,535.1,3.3,July-October,Low,4.6,0,3.9
107,Panakala Narasimha Swamy Temple View,Guntur,Temple,Mangalagiri,16.439049,80.580178,11.8,355.1,394.1,0.3,June-September,Low,1.6,30,4.6
108,Amaravati,Palnadu,Famous City,Amaravati,16.572,80.3575,36.5,388.5,362.6,0.8,December-February,Medium,1.0,0,4.3
109,Belum Caves Point,Nandyal,Caves,Belum,15.075399,78.110817,341.4,695.2,254.7,5.3,October-March,Very High,5.3,100,3.3
110,Tirupati,Tirupati,Famous City,Tirupati,13.6288,79.4192,423.1,707.8,0.0,0.0,October-March,High,1.6,0,4.0
111,Srisailam,Nandyal,Famous City,Srisailam,16.072,78.8682,223.8,589.8,312.1,4.8,June-September,Low,3.2,0,3.4
112,Ongole,Prakasam,Famous City,Ongole,15.5057,80.0499,153.9,454.9,264.6,3.9,November-February,High,3.7,0,4.3
113,Nellore,SPSR Nellore,Famous City,Nellore,14.4426,79.9865,263.5,538.9,119.0,2.4,November-February,Very High,4.3,0,4.6
114,Prakasam Barrage Tourism Zone,NTR,Wildlife,Vijayawada,16.529379,80.643443,3.1,355.3,425.9,0.1,Year Round,High,3.3,20,4.0
115,Bhavani Island Point,NTR,Tourist Place,Vijayawada,16.517214,80.586729,7.0,346.6,381.8,0.1,June-September,Low,3.5,10,4.3
116,Amaravati,Palnadu,Famous City,Amaravati,16.572,80.3575,37.6,365.8,392.1,0.9,December-February,Low,1.5,0,3.3
117,Arasavalli Sun Temple Region,Srikakulam,Temple,Arasavalli,18.311334,83.934069,464.5,111.1,798.3,2.5,October-March,High,4.4,150,4.6
118,Guntur,Guntur,Famous City,Guntur,16.3067,80.4365,36.8,375.7,349.0,0.7,November-February,High,4.0,0,4.9
119,Nellore,SPSR Nellore,Famous City,Nellore,14.4426,79.9865,296.2,555.3,129.0,2.5,October-March,High,4.5,0,3.4
120,Lambasingi Tourism Zone,Alluri Sitharama Raju,Nature,Lambasingi,17.880898,82.581298,315.5,75.7,688.4,1.6,November-February,High,2.5,0,3.2
121,Kambalakonda Wildlife Sanctuary View,Visakhapatnam,Wildlife,Visakhapatnam,17.834998,83.275846,385.0,18.8,751.1,0.3,July-October,Medium,5.4,0,4.4
122,Panakala Narasimha Swamy Temple Area,Guntur,Temple,Mangalagiri,16.453994,80.586977,10.4,329.8,379.8,0.2,June-September,Medium,4.8,200,4.3
123,Vizianagaram Fort View,Vizianagaram,Tourist Place,Vizianagaram,18.110831,83.418458,407.9,60.2,747.4,1.1,November-February,Medium,3.1,150,4.1
124,Amaralingeswara Temple Region,Palnadu,Temple,Amaravati,16.582083,80.383688,36.4,387.9,397.1,0.9,July-October,Medium,2.4,10,4.6
125,Dwaraka Tirumala Temple,Eluru,Hill Station,Dwaraka Tirumala,16.987169,81.276924,97.1,248.8,476.1,2.1,October-March,High,1.1,10,3.9
126,Amaralingeswara Temple Area,Palnadu,Temple,Amaravati,16.601418,80.355572,39.6,374.3,405.3,0.7,July-October,Very High,5.2,0,3.7
127,Ongole,Prakasam,Famous City,Ongole,15.5057,80.0499,140.8,446.6,240.9,2.8,June-September,Low,1.3,0,4.3
128,Prakasam Barrage Region,NTR,Landmark,Vijayawada,16.49175,80.611747,4.7,357.7,373.1,0.1,July-October,Low,2.8,0,4.1
129,Anantapur,Anantapur,Famous City,Anantapur,14.6819,77.6006,406.8,774.1,256.9,4.9,November-February,Low,1.3,0,3.8
130,Lambasingi Tourism Zone,Alluri Sitharama Raju,Hill Station,Lambasingi,17.856361,82.538698,272.1,89.7,658.9,1.7,June-September,Low,1.3,20,4.7
131,Visakhapatnam,Visakhapatnam,Famous City,Visakhapatnam,17.6868,83.2185,366.2,0.0,676.2,0.0,June-September,High,5.1,0,3.9
132,Rajamahendravaram,East Godavari,Famous City,Rajamahendravaram,17.0005,81.804,149.3,205.9,480.8,2.9,June-September,Very High,5.0,0,3.7
133,Yarada Beach View,Visakhapatnam,Beach,Visakhapatnam,17.628077,83.280145,378.3,10.7,734.8,0.2,November-February,High,4.0,0,3.3
134,Tirupati,Tirupati,Famous City,Tirupati,13.6288,79.4192,386.1,673.7,0.0,0.0,June-September,Low,3.2,0,3.5
135,Horsley Hills,Annamayya,Hill Station,Madanapalle,13.650446,78.409763,424.1,804.1,122.5,2.3,July-October,Very High,1.7,20,4.9
136,Tirupati,Tirupati,Famous City,Tirupati,13.6288,79.4192,379.7,716.2,0.0,0.0,June-September,High,1.8,0,3.3
137,Tirupati,Tirupati,Famous City,Tirupati,13.6288,79.4192,403.1,702.1,0.0,0.0,Year Round,Medium,1.6,0,3.6
138,Yarada Beach Point,Visakhapatnam,Famous City,Visakhapatnam,17.633324,83.24992,331.9,8.0,719.6,0.1,October-March,Very High,1.7,0,3.6
139,Vizianagaram,Vizianagaram,Famous City,Vizianagaram,18.1067,83.3956,426.9,61.0,814.2,1.1,July-October,High,4.5,0,4.4
140,Veerabhadra Temple View,Sri Sathya Sai,Temple,Lepakshi,13.831013,77.613639,508.0,791.9,214.0,5.2,December-February,Very High,3.8,200,3.2
141,Kailasagiri Point,Visakhapatnam,Viewpoint,Visakhapatnam,17.775897,83.310602,395.2,16.6,717.7,0.3,December-February,Low,1.4,0,4.7
142,Chittoor,Chittoor,Famous City,Chittoor,13.2172,79.1003,449.5,814.5,69.1,1.4,June-September,Low,5.8,0,3.5
143,Ethipothala Waterfalls Tourism Zone,Palnadu,Waterfall,Nagarjuna Sagar,16.093226,79.320886,163.1,559.0,316.4,3.7,July-October,High,4.2,10,3.7
144,Ongole,Prakasam,Famous City,Ongole,15.5057,80.0499,150.5,444.3,258.6,3.0,July-October,High,1.9,0,4.2
145,Prakasam Barrage Tourism Zone,NTR,Landmark,Vijayawada,16.542165,80.587386,9.2,338.8,379.4,0.2,Year Round,High,1.2,0,4.3
146,Vizianagaram Fort View,Vizianagaram,Fort,Vizianagaram,18.134328,83.407949,392.8,63.7,711.6,1.4,December-February,High,4.0,200,3.6
147,Horsley Hills,Annamayya,Beach,Madanapalle,13.673247,78.401049,441.9,779.6,121.5,2.8,June-September,Very High,2.5,0,3.4
148,Kakinada,Kakinada,Famous City,Kakinada,16.9891,82.2475,216.6,159.5,574.7,3.8,June-September,Very High,6.0,0,3.5
149,Kambalakonda Wildlife Sanctuary Area,Visakhapatnam,Wildlife,Visakhapatnam,17.831166,83.300381,347.6,20.4,662.7,0.4,October-March,Very High,1.0,200,3.7
150,Machilipatnam,Krishna,Famous City,Machilipatnam,16.1875,81.1389,75.6,333.2,381.0,1.6,July-October,High,2.0,0,4.2
151,Chittoor,Chittoor,Famous City,Chittoor,13.2172,79.1003,458.0,770.9,69.6,1.4,October-March,Very High,1.6,0,4.3
152,Kadapa,YSR Kadapa,Famous City,Kadapa,14.4673,78.8242,347.7,663.0,122.1,2.4,October-March,Medium,1.2,0,3.9
153,Coringa Wildlife Sanctuary Area,Kakinada,Wildlife,Kakinada,16.825426,82.277519,197.7,162.3,508.2,2.8,July-October,Very High,3.5,50,4.3
154,Vizianagaram Fort,Vizianagaram,Fort,Vizianagaram,18.079165,83.383187,422.4,54.8,788.0,1.0,Year Round,Medium,2.3,0,4.3
155,Bhavani Island Point,NTR,Tourist Place,Vijayawada,16.518396,80.615483,4.0,362.5,365.5,0.1,June-September,Medium,3.2,10,3.5
156,Rajamahendravaram,East Godavari,Famous City,Rajamahendravaram,17.0005,81.804,152.6,202.9,560.1,2.8,November-February,Medium,1.3,0,4.5
157,Coringa Wildlife Sanctuary Region,Kakinada,Wildlife,Kakinada,16.836963,82.227123,192.6,158.6,562.3,3.0,November-February,High,2.0,50,4.3
158,Undavalli Caves Tourism Zone,NTR,Waterfall,Vijayawada,16.513982,80.585343,8.0,343.7,385.6,0.1,July-October,Very High,3.9,50,3.7
159,Uppada Beach View,Kakinada,Tourist Place,Uppada,16.854623,82.235332,215.3,148.7,579.1,2.9,December-February,High,5.1,200,3.6
160,Srisailam,Nandyal,Famous City,Srisailam,16.072,78.8682,234.8,545.1,294.8,4.2,October-March,Very High,2.2,0,3.6
161,Anantapur,Anantapur,Famous City,Anantapur,14.6819,77.6006,411.2,826.8,240.0,4.9,June-September,Very High,3.0,0,4.9
162,Gandikota Fort,YSR Kadapa,Fort,Gandikota,14.823213,78.313556,368.6,671.8,213.7,3.9,November-February,Low,1.9,0,4.8
163,Uppada Beach View,Kakinada,Beach,Uppada,16.863863,82.282349,218.8,142.1,550.4,3.5,Year Round,Very High,2.4,0,5.0
164,Amaralingeswara Temple View,Palnadu,Wildlife,Amaravati,16.556299,80.379117,31.6,373.2,376.1,0.8,November-February,Medium,3.8,100,4.6
165,Uppada Beach,Kakinada,Lake,Uppada,16.821255,82.243058,188.6,152.4,520.2,3.5,December-February,High,3.2,50,3.9
166,Amaravati,Palnadu,Famous City,Amaravati,16.572,80.3575,33.5,387.6,407.0,0.9,June-September,High,2.5,0,3.4
167,Gandikota Fort Point,YSR Kadapa,Fort,Gandikota,14.793459,78.317015,339.3,736.8,205.8,4.4,November-February,Medium,5.0,200,4.6
168,Amaravati View,Palnadu,Famous City,Amaravati,16.574785,80.358972,33.8,381.5,364.1,0.7,November-February,Medium,3.9,0,4.1
169,Chittoor,Chittoor,Famous City,Chittoor,13.2172,79.1003,457.4,788.2,68.4,1.4,October-March,Very High,3.2,0,4.8
170,Srikakulam,Srikakulam,Famous City,Srikakulam,18.2949,83.8938,453.9,104.4,806.1,1.9,October-March,Medium,3.0,0,4.5
171,Kanaka Durga Temple,NTR,Temple,Vijayawada,16.529127,80.620581,4.8,324.1,429.6,0.1,Year Round,Very High,1.7,150,3.5
172,Nandyal,Nandyal,Famous City,Nandyal,15.4786,78.4836,294.1,692.1,257.8,6.5,November-February,High,5.4,0,4.9
173,Madanapalle,Annamayya,Famous City,Madanapalle,13.55,78.5,453.2,734.8,124.2,2.3,June-September,Very High,5.9,0,4.6
174,Undavalli Caves Tourism Zone,NTR,Caves,Vijayawada,16.484231,80.555295,12.2,330.7,402.1,0.2,July-October,Low,1.3,0,3.6
175,Visakhapatnam,Visakhapatnam,Famous City,Visakhapatnam,17.6868,83.2185,333.1,0.0,691.1,0.0,November-February,High,4.9,0,4.6
176,Amaravati,Palnadu,Famous City,Amaravati,16.572,80.3575,35.4,384.0,405.6,0.8,Year Round,Medium,1.7,0,3.7
177,Machilipatnam,Krishna,Famous City,Machilipatnam,16.1875,81.1389,67.2,343.4,415.9,1.2,June-September,Low,3.1,0,4.3
178,Yarada Beach View,Visakhapatnam,Caves,Visakhapatnam,17.663742,83.260278,344.4,6.1,696.6,0.1,June-September,Low,1.7,50,4.7
179,Manginapudi Beach Area,Krishna,Beach,Machilipatnam,16.141086,81.132,73.3,299.2,381.4,1.6,October-March,High,5.1,0,4.2
180,Srisailam,Nandyal,Famous City,Srisailam,16.072,78.8682,229.4,608.0,302.4,4.3,June-September,Medium,3.8,0,4.5
181,Lambasingi Area,Alluri Sitharama Raju,Hill Station,Lambasingi,17.89533,82.529827,313.8,82.1,724.3,1.7,June-September,Medium,4.5,30,4.5
182,Gandikota Fort View,YSR Kadapa,Fort,Gandikota,14.815356,78.275148,354.6,756.4,206.5,3.8,November-February,High,2.6,200,4.6
183,Visakhapatnam,Visakhapatnam,Famous City,Visakhapatnam,17.6868,83.2185,352.3,0.0,655.5,0.0,June-September,High,3.9,0,4.9
184,Kadapa,YSR Kadapa,Famous City,Kadapa,14.4673,78.8242,328.0,687.2,124.4,2.5,June-September,Very High,2.7,0,4.9
185,Horsley Hills Region,Annamayya,Hill Station,Madanapalle,13.670422,78.399182,495.6,847.0,127.4,2.3,October-March,Very High,4.3,10,4.9
